Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link
CRCT1	Cysteine Rich C-Terminal 1	Protein Coding	Q9UGL9	31	GC01P152514	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRCT1
GOLGA8R	Golgin A8 Family Member R	Protein Coding	I6L899	31	GC15M047713	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA8R
HLA-H	"Major Histocompatibility Complex, Class I, H (Pseudogene)"	Pseudogene	P01893	31	GC06P181847	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-H
INAFM1	InaF Motif Containing 1	Protein Coding	C9JVW0	31	GC19P152776	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=INAFM1
NUTM2D	NUT Family Member 2D	Protein Coding	Q5VT03	31	GC10P087357	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUTM2D
PRAC1	PRAC1 Small Nuclear Protein	Protein Coding	Q96KF2	31	GC17M048721	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAC1
SPATA31F1	SPATA31 Subfamily F Member 1	Protein Coding	Q6ZU69	31	GC09M034723	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA31F1
BTN2A3P	"Butyrophilin Subfamily 2 Member A3, Pseudogene"	Pseudogene	Q96KV6	30	GC06P181712	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTN2A3P
MEIKIN	Meiotic Kinetochore Factor	Protein Coding	A0A087WXM9	30	GC05M131806	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIKIN
MIR483	MicroRNA 483	RNA Gene		30	GC11M015126	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483
SNHG3	Small Nucleolar RNA Host Gene 3	RNA Gene		30	GC01P076549	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG3
SNHG7	Small Nucleolar RNA Host Gene 7	RNA Gene		30	GC09M139274	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG7
ADM5	Adrenomedullin 5 (Putative)	Protein Coding	C9JUS6	28	GC19P152875	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM5
EGOT	Eosinophil Granule Ontogeny Transcript	RNA Gene		28	GC03M004740	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGOT
FBXL19-AS1	FBXL19 Antisense RNA 1	RNA Gene	Q494R0	28	GC16M051183	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL19-AS1
MIR877	MicroRNA 877	RNA Gene		28	GC06P030584	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR877
TRIM39-RPP21	TRIM39-RPP21 Readthrough	Protein Coding		28	GC06P181865	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM39-RPP21
IFNG-AS1	IFNG Regulatory Antisense RNA 1	RNA Gene		27	GC12P067989	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG-AS1
NPIPB6	Nuclear Pore Complex Interacting Protein Family Member B6	Protein Coding	E9PJ23	27	GC16M028342	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPIPB6
POLR1HASP	"POLR1H Antisense, Pseudogene"	Pseudogene		27	GC06M110866	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1HASP
GGNBP1	Gametogenetin Binding Protein 1 (Pseudogene)	Pseudogene	Q5YKI7	26	GC06P181971	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGNBP1
HCG11	HLA Complex Group 11	RNA Gene		26	GC06P181715	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG11
PCGEM1	PCGEM1 Prostate-Specific Transcript	RNA Gene		26	GC02P192749	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGEM1
ACTA2-AS1	ACTA2 Antisense RNA 1	RNA Gene		25	GC10P088932	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2-AS1
LINC00460	Long Intergenic Non-Protein Coding RNA 460	RNA Gene		25	GC13P106376	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00460
LINC01194	Long Intergenic Non-Protein Coding RNA 1194	RNA Gene		25	GC05P012530	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01194
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B Readthrough (NMD Candidate)	RNA Gene		25	GC20P063657	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1-TNFRSF6B
SPATA31C2	SPATA31 Subfamily C Member 2	Protein Coding	B4DYI2	25	GC09M088129	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA31C2
SPDYE5	Speedy/RINGO Cell Cycle Regulator Family Member E5	Protein Coding	A6NIY4	25	GC07P095249	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPDYE5
TEX41	Testis Expressed 41	RNA Gene		25	GC02P154620	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX41
MIR1237	MicroRNA 1237	RNA Gene		24	GC11P064368	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1237
MIR3667HG	MIR3667 Host Gene	RNA Gene		24	GC22M086248	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3667HG
DLEU7-AS1	DLEU7 Antisense RNA 1	RNA Gene		23	GC13P051744	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU7-AS1
DNAJC9-AS1	DNAJC9 And MRPS16 Antisense RNA 1	RNA Gene	A6NH13	23	GC10P075903	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC9-AS1
LINC01550	Long Intergenic Non-Protein Coding RNA 1550	RNA Gene		23	GC14M124288	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01550
LURAP1L-AS1	LURAP1L Antisense RNA 1	RNA Gene		23	GC09M012604	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LURAP1L-AS1
SCARNA12	Small Cajal Body-Specific RNA 12	RNA Gene		23	GC12M035681	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA12
SNORA48	"Small Nucleolar RNA, H/ACA Box 48"	RNA Gene		23	GC17P153760	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORA48
CCND2-AS1	CCND2 Antisense RNA 1	RNA Gene		22	GC12M035597	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2-AS1
HCG25	HLA Complex Group 25	RNA Gene		22	GC06P181948	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG25
HLA-F-AS1	HLA-F Antisense RNA 1	RNA Gene		22	GC06M106364	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-F-AS1
JAZF1-AS1	JAZF1 Antisense RNA 1	RNA Gene		22	GC07P030139	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAZF1-AS1
OR2W5P	Olfactory Receptor Family 2 Subfamily W Member 5 Pseudogene	Pseudogene	A6NFC9	22	GC01P247488	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OR2W5P
PPP1R2P1	Protein Phosphatase 1 Regulatory Inhibitor Subunit 2 Pseudogene 1	Pseudogene	Q96PQ5	22	GC06M032876	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R2P1
PRAC2	PRAC2 Small Nuclear Protein	Protein Coding	D3DTV9	22	GC17P155084	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAC2
PROX1-AS1	PROX1 Antisense RNA 1	RNA Gene		22	GC01M213817	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROX1-AS1
RAMP2-AS1	RAMP2 Antisense RNA 1	RNA Gene		22	GC17M097225	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAMP2-AS1
ZFHX3-AS1	ZFHX3 Antisense RNA 1	RNA Gene		22	GC16P122112	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFHX3-AS1
FLNC-AS1	FLNC Antisense RNA 1	RNA Gene		21	GC07M129331	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNC-AS1
GUSBP2	GUSB Pseudogene 2	Pseudogene		21	GC06M026871	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSBP2
GVQW3	GVQW Motif Containing 3	Protein Coding	Q3ZCU0	21	GC11P108335	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GVQW3
HCG21	HLA Complex Group 21	RNA Gene		21	GC06M030945	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG21
LINC00974	Long Intergenic Non-Protein Coding RNA 974	RNA Gene		21	GC17M041549	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00974
LINC01082	Long Intergenic Non-Protein Coding RNA 1082	RNA Gene		21	GC16P086065	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01082
LINC01354	Long Intergenic Non-Protein Coding RNA 1354	RNA Gene		21	GC01M234528	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01354
LINC01620	Long Intergenic Non-Protein Coding RNA 1620	RNA Gene		21	GC20M044453	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01620
MDC1-AS1	MDC1 Antisense RNA 1	RNA Gene		21	GC06P181872	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDC1-AS1
NPPA-AS1	NPPA Antisense RNA 1	RNA Gene		21	GC01P075442	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA-AS1
SNORD117	"Small Nucleolar RNA, C/D Box 117"	RNA Gene		21	GC06M106472	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD117
VLDLR-AS1	VLDLR Antisense RNA 1	RNA Gene		21	GC09M002301	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VLDLR-AS1
ZNF816-ZNF321P	ZNF816-ZNF321P Readthrough	Protein Coding		21	GC19M052927	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF816-ZNF321P
HCG23	HLA Complex Group 23	RNA Gene		20	GC06P181919	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG23
LINC00240	Long Intergenic Non-Protein Coding RNA 240	RNA Gene		20	GC06P026956	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00240
LINC01235	Long Intergenic Non-Protein Coding RNA 1235	RNA Gene		20	GC09M013407	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01235
NRAD1	Non-Coding RNA In The Aldehyde Dehydrogenase 1A Pathway	RNA Gene		20	GC13P043910	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRAD1
PSMB8-AS1	PSMB8 Antisense RNA 1 (Head To Head)	RNA Gene		20	GC06P181923	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB8-AS1
SCARNA21	Small Cajal Body-Specific RNA 21	RNA Gene		20	GC17P007906	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA21
SNORD16	"Small Nucleolar RNA, C/D Box 16"	RNA Gene		20	GC15M162597	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD16
TBX3-AS1	TBX3 Antisense RNA 1	RNA Gene		20	GC12P114681	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX3-AS1
TEX48	Testis Expressed 48	Protein Coding	A0A1B0GUV7	20	GC09M122445	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX48
WASHC5-AS1	WASHC5 Antisense RNA 1	RNA Gene		20	GC08P126391	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC5-AS1
HLA-J	"Major Histocompatibility Complex, Class I, J (Pseudogene)"	Pseudogene		19	GC06P181856	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-J
SNORD35A	"Small Nucleolar RNA, C/D Box 35A"	RNA Gene		19	GC19P152869	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD35A
BMS1P20	BMS1 Pseudogene 20	Pseudogene		18	GC22P022298	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMS1P20
CHROMR	Cholesterol Induced Regulator Of Metabolism RNA	RNA Gene		18	GC02P178466	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHROMR
CTNS-AS1	CTNS Antisense RNA 1	RNA Gene		18	GC17M098346	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNS-AS1
DM1-AS	DM1 Locus Antisense RNA	RNA Gene		18	GC19P152723	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DM1-AS
HCG20	HLA Complex Group 20	RNA Gene		18	GC06P181875	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG20
IFNAR2-IL10RB	IFNAR2-IL10RB Readthrough	Protein Coding		18	GC21P033230	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR2-IL10RB
IL21-AS1	IL21 Antisense RNA 1	RNA Gene		18	GC04P122544	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21-AS1
LINC00824	Long Intergenic Non-Protein Coding RNA 824	RNA Gene		18	GC08M128405	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00824
LINC00907	Long Intergenic Non-Protein Coding RNA 907	RNA Gene		18	GC18P042159	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00907
LINC01254	Long Intergenic Non-Protein Coding RNA 1254	RNA Gene		18	GC18M010410	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01254
LINC01515	Long Intergenic Non-Protein Coding RNA 1515	RNA Gene		18	GC10P065570	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01515
LINC02098	Long Intergenic Non-Protein Coding RNA 2098	RNA Gene		18	GC11P128210	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02098
LOC285638	Uncharacterized LOC285638	RNA Gene		18	GC05M109237	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC285638
RNF227	Ring Finger Protein 227	Protein Coding	A6NIN4	18	GC17M096221	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF227
RP9P	RP9 Pseudogene	Pseudogene		18	GC07M032922	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RP9P
TNFRSF14-AS1	TNFRSF14 Antisense RNA 1	RNA Gene		18	GC01M022223	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF14-AS1
ZNRD2-DT	ZNRD2 Divergent Transcript	RNA Gene		18	GC11M142627	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNRD2-DT
ADAM1A	ADAM Metallopeptidase Domain 1A (Pseudogene)	Pseudogene		17	GC12P111899	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM1A
ARHGEF26-AS1	ARHGEF26 Antisense RNA 1	RNA Gene		17	GC03M154024	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF26-AS1
ETS1-AS1	ETS1 Antisense RNA 1	RNA Gene		17	GC11P128527	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1-AS1
FAM99B	Family With Sequence Similarity 99 Member B	RNA Gene		17	GC11M015110	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM99B
HLA-DRB6	"Major Histocompatibility Complex, Class II, DR Beta 6 (Pseudogene)"	Pseudogene		17	GC06M106526	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB6
IGLV5-52	Immunoglobulin Lambda Variable 5-52	Protein Coding	A0A0A0MRZ9	17	GC22P022318	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGLV5-52
LINC00184	Long Intergenic Non-Protein Coding RNA 184	RNA Gene		17	GC01P234704	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00184
LINC00581	Long Intergenic Non-Protein Coding RNA 581	RNA Gene		17	GC06M021486	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00581
LINC00993	Long Intergenic Non-Protein Coding RNA 993	RNA Gene		17	GC10P037249	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00993
LINC01208	Long Intergenic Non-Protein Coding RNA 1208	RNA Gene		17	GC03M176415	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01208
LINC01430	Long Intergenic Non-Protein Coding RNA 1430	RNA Gene		17	GC20M044436	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01430
LINC02202	Long Intergenic Non-Protein Coding RNA 2202	RNA Gene		17	GC05P159751	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02202
LINC02227	Long Intergenic Non-Protein Coding RNA 2227	RNA Gene		17	GC05M158321	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02227
LINC02354	Long Intergenic Non-Protein Coding RNA 2354	RNA Gene		17	GC12P074948	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02354
LINC02569	Long Intergenic Non-Protein Coding RNA 2569	RNA Gene		17	GC06P185214	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02569
LINC02940	Long Intergenic Non-Protein Coding RNA 2940	RNA Gene		17	GC21M038984	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02940
MHENCR	Melanoma Highly Expressed Competing Endogenous LncRNA For MiR-425 And MiR-489	RNA Gene		17	GC20P069266	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MHENCR
MIR1301	MicroRNA 1301	RNA Gene		17	GC02M025328	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1301
MIR3143	MicroRNA 3143	RNA Gene		17	GC06P181733	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3143
MIR3909	MicroRNA 3909	RNA Gene		17	GC22P035335	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3909
MSTO2P	"Misato Family Member 2, Pseudogene"	Pseudogene		17	GC01P155745	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTO2P
PARAIL	Palmitic Acid Regulated Anti-Inflammatory LncRNA	RNA Gene		17	GC08M089546	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARAIL
SATB1-AS1	SATB1 Antisense RNA 1	RNA Gene		17	GC03P027207	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SATB1-AS1
SMAD3-AS1	SMAD3 Antisense RNA 1	RNA Gene		17	GC15M165963	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3-AS1
SMIM33	Small Integral Membrane Protein 33	Protein Coding	A0A1B0GW64	17	GC05P159011	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMIM33
SNORD23	"Small Nucleolar RNA, C/D Box 23"	RNA Gene		17	GC19P047755	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD23
SNORD35B	"Small Nucleolar RNA, C/D Box 35B"	RNA Gene		17	GC19P152870	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD35B
SPATA31F2P	"SPATA31 Subfamily F Member 2, Pseudogene"	Pseudogene	Q63HN1	17	GC09M035857	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA31F2P
BHLHE40-AS1	BHLHE40 Antisense RNA 1	RNA Gene		16	GC03M004900	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE40-AS1
BSN-DT	BSN Divergent Transcript	RNA Gene		16	GC03M054768	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSN-DT
C1RL-AS1	C1RL Antisense RNA 1	RNA Gene		16	GC12P074090	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1RL-AS1
CCR5AS	CCR5 Antisense RNA	RNA Gene		16	GC03M046365	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5AS
GBA1LP	"Glucosylceramidase Beta 1 Like, Pseudogene"	Pseudogene		16	GC01M155213	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1LP
HCG4B	HLA Complex Group 4B	RNA Gene		16	GC06M106384	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG4B
LINC01149	Long Intergenic Non-Protein Coding RNA 1149	RNA Gene		16	GC06P181886	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01149
LINC01572	Long Intergenic Non-Protein Coding RNA 1572	RNA Gene		16	GC16M075191	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01572
MIR4640	MicroRNA 4640	RNA Gene		16	GC06P030890	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4640
ZNF204P	"Zinc Finger Protein 204, Pseudogene"	Pseudogene		16	GC06M027357	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF204P
ASH1L-AS1	ASH1L Antisense RNA 1	RNA Gene		15	GC01P155561	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASH1L-AS1
ATXN2-AS	ATXN2 Antisense RNA	RNA Gene		15	GC12P111746	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN2-AS
CCND3P1	Cyclin D3 Pseudogene 1	Pseudogene		15	GC10M030403	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND3P1
DDR1-DT	DDR1 Divergent Transcript	RNA Gene		15	GC06M106414	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDR1-DT
ENSG00000228778	Novel Transcript	RNA Gene		15	GC10P124300	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000228778
ETS2-AS1	ETS2 Antisense RNA 1	RNA Gene		15	GC21M038813	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS2-AS1
HLA-L	"Major Histocompatibility Complex, Class I, L (Pseudogene)"	Pseudogene		15	GC06P181862	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-L
LINC00583	Long Intergenic Non-Protein Coding RNA 583	RNA Gene		15	GC09P013928	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00583
LINC01714	Long Intergenic Non-Protein Coding RNA 1714	RNA Gene		15	GC01P079331	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01714
LINC01882	Long Intergenic Non-Protein Coding RNA 1882	RNA Gene		15	GC18M038594	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01882
LINC02213	Long Intergenic Non-Protein Coding RNA 2213	RNA Gene		15	GC05M010504	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02213
LINC02985	Long Intergenic Non-Protein Coding RNA 2985	RNA Gene		15	GC12P139326	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02985
LOC105371887	Uncharacterized LOC105371887	RNA Gene		15	GC17P072640	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC105371887
LOC124906209	Uncharacterized LOC124906209	RNA Gene		15	GC03M004764	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC124906209
MIR4686	MicroRNA 4686	RNA Gene		15	GC11P002173	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4686
MIR6090	MicroRNA 6090	RNA Gene		15	GC11P128522	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR6090
MIR647	MicroRNA 647	RNA Gene		15	GC20M063942	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR647
NIPAL4-DT	NIPAL4 Divergent Transcript	RNA Gene		15	GC05M157364	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPAL4-DT
RNU5E-1	"RNA, U5E Small Nuclear 1"	RNA Gene		15	GC01P011908	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU5E-1
SEC1P	"Secretory Blood Group 1, Pseudogene"	Pseudogene		15	GC19P048638	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC1P
SNORA58B	"Small Nucleolar RNA, H/ACA Box 58B"	RNA Gene		15	GC01P176679	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORA58B
SNORD10	"Small Nucleolar RNA, C/D Box 10"	RNA Gene		15	GC17P153759	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD10
STEAP2-AS1	STEAP2 Antisense RNA 1	RNA Gene		15	GC07M089882	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP2-AS1
SUGT1P3	SUGT1 Pseudogene 3	Pseudogene		15	GC13M040908	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUGT1P3
TMEM198B	Transmembrane Protein 198B (Pseudogene)	Pseudogene		15	GC12P055829	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM198B
TPI1P2	Triosephosphate Isomerase 1 Pseudogene 2	Pseudogene		15	GC07P129055	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1P2
TRIM31-AS1	TRIM31 Antisense RNA 1	RNA Gene		15	GC06P181859	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM31-AS1
VN1R10P	Vomeronasal 1 Receptor 10 Pseudogene	Pseudogene		15	GC06P027324	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VN1R10P
ZSCAN16-AS1	ZSCAN16 Antisense RNA 1	RNA Gene		15	GC06M106231	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZSCAN16-AS1
ZSWIM8-AS1	ZSWIM8 Antisense RNA 1	RNA Gene		15	GC10M074403	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZSWIM8-AS1
C20orf181	Chromosome 20 Putative Open Reading Frame 181	Uncategorized		14	GC20M063844	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C20orf181
CHUK-DT	CHUK Divergent Transcript	RNA Gene		14	GC10P124335	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK-DT
DPH1-AS1	DPH1 Antisense RNA 1	RNA Gene		14	GC17M098348	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPH1-AS1
ELOA-AS1	ELOA Antisense RNA 1	RNA Gene		14	GC01M034561	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELOA-AS1
HLA-K	"Major Histocompatibility Complex, Class I, K (Pseudogene)"	Pseudogene		14	GC06P181852	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-K
HLA-V	"Major Histocompatibility Complex, Class I, V (Pseudogene)"	Pseudogene		14	GC06P181843	0.475097477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-V
